Step,Instant_Acc,Avg_Acc
0,0.0,0.0
1,100.0,50.0
2,100.0,66.66667175292969
3,0.0,50.0
4,0.0,40.0
5,100.0,50.0
6,0.0,42.85714340209961
7,100.0,50.0
8,0.0,44.4444465637207
9,100.0,50.0
10,0.0,45.45454788208008
11,0.0,41.66666793823242
12,100.0,46.153846740722656
13,0.0,42.85714340209961
14,0.0,40.000003814697266
15,0.0,37.5
16,0.0,35.29411697387695
17,0.0,33.33333206176758
18,100.0,36.842105865478516
19,100.0,40.0
20,0.0,38.095237731933594
21,0.0,36.3636360168457
22,100.0,39.130435943603516
23,0.0,37.5
24,100.0,40.0
25,0.0,38.46154022216797
26,100.0,40.74074172973633
27,0.0,39.28571701049805
28,100.0,41.379310607910156
29,0.0,40.000003814697266
30,100.0,41.935482025146484
31,0.0,40.625
32,100.0,42.42424392700195
33,100.0,44.11764907836914
34,0.0,42.85714340209961
35,0.0,41.66666793823242
36,0.0,40.54054260253906
37,0.0,39.47368621826172
38,100.0,41.02564239501953
39,0.0,40.0
40,100.0,41.46341323852539
41,100.0,42.85714340209961
42,100.0,44.1860466003418
43,0.0,43.181819915771484
44,100.0,44.4444465637207
45,0.0,43.4782600402832
46,0.0,42.55318832397461
47,0.0,41.66666793823242
48,100.0,42.85714340209961
49,100.0,44.0
50,100.0,45.09804153442383
51,0.0,44.230770111083984
52,100.0,45.28302001953125
53,100.0,46.296295166015625
54,100.0,47.27272415161133
55,100.0,48.21428680419922
56,0.0,47.3684196472168
57,0.0,46.55172348022461
58,100.0,47.45762634277344
59,100.0,48.333335876464844
60,100.0,49.18032455444336
61,100.0,50.0
62,100.0,50.79365539550781
63,0.0,50.0
64,100.0,50.769229888916016
65,100.0,51.51515197753906
66,0.0,50.74626922607422
67,0.0,50.0
68,100.0,50.724639892578125
69,100.0,51.42857360839844
70,100.0,52.112674713134766
71,100.0,52.77777862548828
72,100.0,53.42465591430664
73,100.0,54.054054260253906
74,100.0,54.66666793823242
75,100.0,55.26315689086914
76,0.0,54.54545593261719
77,100.0,55.128204345703125
78,100.0,55.696205139160156
79,100.0,56.25
80,100.0,56.790122985839844
81,0.0,56.097557067871094
82,0.0,55.42168426513672
83,100.0,55.9523811340332
84,0.0,55.29411697387695
85,100.0,55.8139533996582
86,0.0,55.17241287231445
87,100.0,55.681819915771484
88,100.0,56.17977523803711
89,0.0,55.55555725097656
90,0.0,54.9450569152832
91,0.0,54.34782791137695
92,100.0,54.83871078491211
93,0.0,54.25531768798828
94,0.0,53.68421173095703
95,100.0,54.16666793823242
96,100.0,54.63917541503906
97,0.0,54.08163070678711
98,100.0,54.54545593261719
99,0.0,54.0
100,0.0,53.46534729003906
101,0.0,52.94117736816406
102,0.0,52.42718505859375
103,0.0,51.92308044433594
104,100.0,52.38095474243164
105,0.0,51.88679504394531
106,0.0,51.4018669128418
107,0.0,50.925926208496094
108,0.0,50.45871353149414
109,100.0,50.909088134765625
110,100.0,51.35135269165039
111,100.0,51.78571701049805
112,100.0,52.2123908996582
113,100.0,52.6315803527832
114,0.0,52.173912048339844
115,100.0,52.58620834350586
116,100.0,52.991455078125
117,0.0,52.54237365722656
118,0.0,52.1008415222168
119,100.0,52.500003814697266
120,0.0,52.06611251831055
121,100.0,52.459014892578125
122,0.0,52.03251647949219
123,0.0,51.61289978027344
124,0.0,51.20000076293945
125,100.0,51.587303161621094
126,0.0,51.18110275268555
127,0.0,50.78125
128,0.0,50.387596130371094
129,100.0,50.769229888916016
130,100.0,51.14503860473633
131,0.0,50.75757598876953
132,0.0,50.37594223022461
133,100.0,50.74626922607422
134,100.0,51.11111068725586
135,100.0,51.47058868408203
136,100.0,51.8248176574707
137,0.0,51.449275970458984
138,100.0,51.798561096191406
139,100.0,52.14285659790039
140,0.0,51.773048400878906
141,0.0,51.408451080322266
142,100.0,51.748252868652344
143,0.0,51.38888931274414
144,100.0,51.72413635253906
145,100.0,52.05479431152344
146,0.0,51.700679779052734
147,0.0,51.35135269165039
148,0.0,51.006710052490234
149,100.0,51.333335876464844
150,100.0,51.6556282043457
151,0.0,51.31578826904297
152,100.0,51.63398742675781
153,100.0,51.94805145263672
154,0.0,51.6129035949707
155,100.0,51.92307662963867
156,0.0,51.59235763549805
157,100.0,51.89873504638672
158,100.0,52.201255798339844
159,0.0,51.875
160,100.0,52.17391586303711
161,100.0,52.46913528442383
162,100.0,52.76073455810547
163,100.0,53.04877853393555
164,100.0,53.33333206176758
165,0.0,53.012046813964844
166,0.0,52.69461441040039
167,100.0,52.976192474365234
168,100.0,53.25444030761719
169,100.0,53.52941131591797
170,100.0,53.801170349121094
171,0.0,53.488372802734375
172,100.0,53.757225036621094
173,100.0,54.022987365722656
174,100.0,54.28571319580078
175,100.0,54.54545593261719
176,100.0,54.80226135253906
177,0.0,54.494380950927734
178,0.0,54.18994140625
179,100.0,54.4444465637207
180,100.0,54.696136474609375
181,0.0,54.395606994628906
182,100.0,54.644805908203125
183,100.0,54.89130401611328
184,100.0,55.135135650634766
185,100.0,55.3763427734375
186,100.0,55.61497497558594
187,100.0,55.8510627746582
188,100.0,56.08465576171875
189,100.0,56.315792083740234
190,0.0,56.02094268798828
191,0.0,55.72916793823242
192,100.0,55.95854949951172
193,100.0,56.18556594848633
194,0.0,55.897438049316406
195,0.0,55.61224365234375
196,100.0,55.837562561035156
197,0.0,55.55555725097656
198,100.0,55.778892517089844
199,100.0,56.0
200,0.0,55.72139358520508
201,100.0,55.94059371948242
202,100.0,56.15763473510742
203,100.0,56.37255096435547
204,0.0,56.09756088256836
205,100.0,56.3106803894043
206,100.0,56.5217399597168
207,100.0,56.730770111083984
208,100.0,56.93779754638672
209,100.0,57.142860412597656
210,100.0,57.34597396850586
211,0.0,57.07547378540039
212,0.0,56.80751419067383
213,0.0,56.54205322265625
214,100.0,56.74418640136719
215,0.0,56.481483459472656
216,100.0,56.68202590942383
217,100.0,56.88072967529297
218,100.0,57.07762145996094
219,100.0,57.27272415161133
220,100.0,57.466064453125
221,100.0,57.657657623291016
222,0.0,57.399105072021484
223,100.0,57.58928680419922
224,100.0,57.77777862548828
225,100.0,57.964603424072266
226,100.0,58.149776458740234
227,0.0,57.894737243652344
228,100.0,58.0786018371582
229,100.0,58.260868072509766
230,100.0,58.441558837890625
231,0.0,58.18965530395508
232,100.0,58.36909866333008
233,100.0,58.54701232910156
234,100.0,58.72340393066406
235,0.0,58.47457504272461
236,100.0,58.64978790283203
237,100.0,58.82353210449219
238,0.0,58.5774040222168
239,100.0,58.750003814697266
240,0.0,58.5062255859375
241,0.0,58.264461517333984
242,0.0,58.024688720703125
243,100.0,58.19671630859375
244,0.0,57.95918273925781
245,0.0,57.723575592041016
246,0.0,57.4898796081543
247,0.0,57.25806427001953
248,100.0,57.429718017578125
249,0.0,57.20000457763672
250,0.0,56.97211456298828
251,100.0,57.142860412597656
252,0.0,56.91699981689453
253,100.0,57.086612701416016
254,0.0,56.86274719238281
255,0.0,56.640625
256,100.0,56.8093376159668
257,100.0,56.97674560546875
258,100.0,57.14285659790039
259,100.0,57.30769348144531
260,100.0,57.47126388549805
261,0.0,57.25190734863281
262,0.0,57.03422164916992
263,0.0,56.81818389892578
264,100.0,56.98113250732422
265,100.0,57.142860412597656
266,0.0,56.92884063720703
267,100.0,57.08955001831055
268,100.0,57.24906921386719
