Exp_Name,Accuracy,Views,Steps,Confidence,LR,Time_Sec
A_RN50_b16_step2_conf0.1_lr0.01,27.25,16,2,0.1,0.01,243.1
A_RN50_b32_step2_conf0.1_lr0.01,28.625,32,2,0.1,0.01,252.1
A_RN50_b64_step2_conf0.1_lr0.01,30.0,64,2,0.1,0.01,277.4
A_RN50_b8_step1_conf0.5_lr0.01,24.875,8,1,0.5,0.01,147.1
A_RN50_b16_step1_conf0.5_lr0.01,23.75,16,1,0.5,0.01,149.4
A_RN50_b32_step1_conf0.5_lr0.01,25.75,32,1,0.5,0.01,152.9
A_RN50_b64_step1_conf0.5_lr0.01,26.125,64,1,0.5,0.01,167.9
A_RN50_b8_step2_conf0.5_lr0.01,26.875,8,2,0.5,0.01,242.2
A_RN50_b16_step2_conf0.5_lr0.01,25.625,16,2,0.5,0.01,243.9
A_RN50_b32_step2_conf0.5_lr0.01,27.5,32,2,0.5,0.01,252.5
A_RN50_b64_step2_conf0.5_lr0.01,27.0,64,2,0.5,0.01,277.2
