Step,Instant_Acc,Avg_Acc
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,100.0,20.0
5,0.0,16.666667938232422
6,100.0,28.571430206298828
7,0.0,25.0
8,0.0,22.22222328186035
9,0.0,20.0
10,0.0,18.18181800842285
11,0.0,16.666667938232422
12,0.0,15.384615898132324
13,0.0,14.285715103149414
14,0.0,13.333333969116211
15,0.0,12.5
16,0.0,11.764705657958984
17,0.0,11.111111640930176
18,0.0,10.526315689086914
19,0.0,10.0
20,0.0,9.523809432983398
21,0.0,9.090909004211426
22,100.0,13.043478965759277
23,0.0,12.5
24,0.0,12.0
25,0.0,11.538461685180664
26,0.0,11.111111640930176
27,0.0,10.714285850524902
28,0.0,10.344827651977539
29,100.0,13.333333969116211
30,0.0,12.90322494506836
31,0.0,12.5
32,0.0,12.121212005615234
33,0.0,11.764705657958984
34,0.0,11.428571701049805
35,0.0,11.111111640930176
36,100.0,13.513513565063477
37,0.0,13.1578950881958
38,0.0,12.820512771606445
39,0.0,12.5
40,0.0,12.195121765136719
41,0.0,11.904762268066406
42,0.0,11.627906799316406
43,100.0,13.636363983154297
44,0.0,13.333333969116211
45,0.0,13.043478965759277
46,0.0,12.76595687866211
47,0.0,12.5
48,0.0,12.244897842407227
49,0.0,12.0
50,0.0,11.7647066116333
51,0.0,11.538461685180664
52,0.0,11.320755004882812
53,0.0,11.111111640930176
54,0.0,10.909090995788574
55,0.0,10.714285850524902
56,100.0,12.280701637268066
57,0.0,12.068965911865234
58,0.0,11.86440658569336
59,0.0,11.666666984558105
60,100.0,13.114753723144531
61,0.0,12.90322494506836
62,0.0,12.698413848876953
63,0.0,12.5
64,0.0,12.307692527770996
65,0.0,12.121212005615234
66,0.0,11.940298080444336
67,0.0,11.764705657958984
68,0.0,11.594202995300293
69,0.0,11.428571701049805
70,0.0,11.267605781555176
71,100.0,12.5
72,0.0,12.328766822814941
73,0.0,12.162162780761719
74,0.0,12.0
75,0.0,11.8421049118042
76,0.0,11.688311576843262
77,100.0,12.820512771606445
78,0.0,12.658227920532227
79,100.0,13.75
80,0.0,13.580246925354004
81,0.0,13.414633750915527
82,0.0,13.253011703491211
83,0.0,13.09523868560791
84,0.0,12.941176414489746
85,0.0,12.790698051452637
86,0.0,12.643677711486816
87,0.0,12.5
88,0.0,12.359550476074219
89,0.0,12.222222328186035
90,0.0,12.087912559509277
91,0.0,11.956521987915039
92,0.0,11.827957153320312
93,0.0,11.702127456665039
94,0.0,11.578948020935059
95,0.0,11.458333969116211
96,0.0,11.340206146240234
97,0.0,11.224489212036133
98,0.0,11.11111068725586
99,0.0,11.0
100,0.0,10.891088485717773
101,0.0,10.784314155578613
102,0.0,10.679612159729004
103,0.0,10.576923370361328
104,0.0,10.476190567016602
105,0.0,10.377358436584473
106,100.0,11.21495246887207
107,0.0,11.111111640930176
108,0.0,11.009173393249512
109,100.0,11.818181037902832
110,0.0,11.711711883544922
111,0.0,11.60714340209961
112,0.0,11.504425048828125
113,0.0,11.403509140014648
114,0.0,11.304347038269043
115,0.0,11.206896781921387
116,0.0,11.111111640930176
117,0.0,11.016948699951172
118,0.0,10.924370765686035
119,0.0,10.833333969116211
120,0.0,10.74380111694336
121,0.0,10.655736923217773
122,0.0,10.56910514831543
123,0.0,10.483870506286621
124,100.0,11.200000762939453
125,100.0,11.904762268066406
126,0.0,11.811023712158203
127,0.0,11.71875
128,0.0,11.627906799316406
129,0.0,11.538461685180664
130,0.0,11.4503812789917
131,0.0,11.36363697052002
132,0.0,11.27819538116455
133,0.0,11.194029808044434
134,0.0,11.11111068725586
135,0.0,11.029412269592285
136,0.0,10.948904991149902
137,0.0,10.8695650100708
138,0.0,10.791367530822754
139,0.0,10.714285850524902
140,0.0,10.638297080993652
141,0.0,10.563380241394043
142,0.0,10.489510536193848
143,0.0,10.416666984558105
144,0.0,10.344827651977539
145,0.0,10.273972511291504
146,0.0,10.204081535339355
147,0.0,10.135135650634766
148,100.0,10.738255500793457
149,0.0,10.666666984558105
150,0.0,10.596026420593262
151,0.0,10.526315689086914
152,0.0,10.45751667022705
153,0.0,10.389610290527344
154,0.0,10.322580337524414
155,0.0,10.256410598754883
156,0.0,10.191082954406738
157,0.0,10.126582145690918
158,0.0,10.06289291381836
159,0.0,10.0
160,0.0,9.937888145446777
161,0.0,9.876543045043945
162,0.0,9.815950393676758
163,0.0,9.756096839904785
164,0.0,9.696969032287598
165,0.0,9.638553619384766
166,0.0,9.580839157104492
167,0.0,9.523809432983398
168,0.0,9.467455863952637
169,0.0,9.411765098571777
170,100.0,9.941520690917969
171,0.0,9.883721351623535
172,0.0,9.826589584350586
173,100.0,10.344827651977539
174,0.0,10.285714149475098
175,0.0,10.227272987365723
176,0.0,10.1694917678833
177,0.0,10.112360000610352
178,0.0,10.055865287780762
179,0.0,10.0
180,0.0,9.944751739501953
181,0.0,9.89011001586914
182,0.0,9.836065292358398
183,0.0,9.782608985900879
184,0.0,9.729729652404785
185,0.0,9.677419662475586
186,0.0,9.6256685256958
187,0.0,9.574467658996582
188,0.0,9.523809432983398
189,0.0,9.473684310913086
190,0.0,9.424083709716797
191,0.0,9.375
192,0.0,9.326424598693848
193,0.0,9.278349876403809
194,0.0,9.230769157409668
195,0.0,9.183672904968262
196,0.0,9.137055397033691
197,0.0,9.090909004211426
198,0.0,9.045226097106934
199,0.0,9.0
200,0.0,8.95522403717041
201,0.0,8.910890579223633
202,0.0,8.866994857788086
203,0.0,8.823530197143555
204,0.0,8.780488014221191
205,0.0,8.73786449432373
206,0.0,8.69565200805664
207,0.0,8.653846740722656
208,0.0,8.61244010925293
209,0.0,8.571429252624512
210,0.0,8.530805587768555
211,0.0,8.49056625366211
212,0.0,8.450704574584961
213,0.0,8.411214828491211
214,0.0,8.372093200683594
215,0.0,8.333333015441895
216,0.0,8.294930458068848
217,0.0,8.256880760192871
218,0.0,8.219178199768066
219,0.0,8.181818008422852
220,0.0,8.144796371459961
221,0.0,8.108108520507812
222,0.0,8.071749687194824
223,0.0,8.035715103149414
224,0.0,8.0
225,100.0,8.407079696655273
226,100.0,8.810572624206543
227,0.0,8.771929740905762
228,0.0,8.733624458312988
229,0.0,8.69565200805664
230,100.0,9.090909004211426
231,0.0,9.051724433898926
232,100.0,9.442060470581055
233,0.0,9.40170955657959
234,0.0,9.361701965332031
235,100.0,9.745762825012207
236,100.0,10.126582145690918
237,100.0,10.504201889038086
238,0.0,10.460250854492188
239,0.0,10.416666984558105
240,100.0,10.788382530212402
241,100.0,11.157024383544922
242,0.0,11.11111068725586
243,0.0,11.065572738647461
244,0.0,11.020407676696777
245,100.0,11.382113456726074
246,0.0,11.33603286743164
247,100.0,11.693548202514648
248,0.0,11.646585464477539
249,0.0,11.600000381469727
250,0.0,11.55378532409668
251,100.0,11.904762268066406
252,0.0,11.857707977294922
253,0.0,11.811023712158203
254,0.0,11.7647066116333
255,100.0,12.109375
256,0.0,12.062256813049316
257,0.0,12.015503883361816
258,0.0,11.969111442565918
259,0.0,11.923076629638672
260,0.0,11.877394676208496
261,100.0,12.213740348815918
262,100.0,12.547528266906738
263,0.0,12.5
264,0.0,12.45283031463623
265,0.0,12.406015396118164
266,100.0,12.734082221984863
267,0.0,12.686567306518555
268,0.0,12.639405250549316
269,100.0,12.962963104248047
270,0.0,12.915129661560059
271,0.0,12.867647171020508
272,0.0,12.820512771606445
273,0.0,12.773722648620605
274,0.0,12.727272987365723
275,0.0,12.681159973144531
276,0.0,12.63537883758545
277,0.0,12.58992862701416
278,0.0,12.54480266571045
279,0.0,12.5
280,0.0,12.45551586151123
281,0.0,12.411347389221191
282,0.0,12.367491722106934
283,0.0,12.323943138122559
284,0.0,12.280701637268066
285,0.0,12.237762451171875
286,0.0,12.195121765136719
287,0.0,12.152777671813965
288,0.0,12.110727310180664
289,0.0,12.068965911865234
290,0.0,12.027491569519043
291,0.0,11.98630142211914
292,0.0,11.945391654968262
293,0.0,11.90476131439209
294,100.0,12.203390121459961
295,0.0,12.162162780761719
296,100.0,12.45791244506836
297,0.0,12.416107177734375
298,0.0,12.374582290649414
299,0.0,12.333333969116211
300,0.0,12.2923583984375
301,0.0,12.251655578613281
302,0.0,12.211221694946289
303,100.0,12.5
304,0.0,12.459016799926758
305,0.0,12.41830062866211
306,0.0,12.377849578857422
307,100.0,12.662337303161621
308,0.0,12.621359825134277
309,0.0,12.580644607543945
310,0.0,12.540192604064941
311,0.0,12.5
312,0.0,12.460063934326172
